Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,hour,date,day_of_week,duration_min,time_slot
619,Airport,1,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,2016-07-11,Monday,69.0,Afternoon (10-16)
867,Airport,1,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,2016-07-11,Monday,50.0,Evening (17-20)
1807,City,1,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,2016-07-12,Tuesday,41.0,Morning (5-9)
2532,Airport,1,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,2016-07-12,Tuesday,55.0,Night (21-23)
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,2016-07-13,Wednesday,52.5,Morning (5-9)
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,2016-07-13,Wednesday,31.5,Night (21-23)
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,2016-07-14,Thursday,57.7,Morning (5-9)
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,2016-07-15,Friday,56.0,Morning (5-9)
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,2016-07-15,Friday,53.4,Evening (17-20)
267,City,2,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,2016-07-11,Monday,39.0,Morning (5-9)
1467,Airport,2,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,2016-07-12,Tuesday,54.0,Morning (5-9)
1983,City,2,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,2016-07-12,Tuesday,27.0,Afternoon (10-16)
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,2016-07-13,Wednesday,33.7,Late Night (0-4)
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,2016-07-13,Wednesday,73.4,Morning (5-9)
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,2016-07-13,Wednesday,72.3,Afternoon (10-16)
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,2016-07-13,Wednesday,57.6,Evening (17-20)
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,2016-07-14,Thursday,35.7,Afternoon (10-16)
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,2016-07-14,Thursday,54.6,Night (21-23)
535,Airport,3,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,2016-07-11,Monday,31.0,Afternoon (10-16)
960,Airport,3,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,2016-07-11,Monday,38.0,Evening (17-20)
1934,Airport,3,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,2016-07-12,Tuesday,66.0,Afternoon (10-16)
2083,Airport,3,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,2016-07-12,Tuesday,54.0,Afternoon (10-16)
2211,Airport,3,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,2016-07-12,Tuesday,28.0,Evening (17-20)
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,2016-07-13,Wednesday,65.1,Morning (5-9)
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,2016-07-13,Wednesday,57.1,Night (21-23)
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,2016-07-14,Thursday,62.3,Night (21-23)
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,2016-07-15,Friday,43.1,Late Night (0-4)
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,2016-07-15,Friday,52.4,Afternoon (10-16)
669,City,4,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13,2016-07-11,Monday,41.0,Afternoon (10-16)
1567,Airport,4,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6,2016-07-12,Tuesday,49.0,Morning (5-9)
1826,City,4,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9,2016-07-12,Tuesday,60.0,Morning (5-9)
2102,City,4,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16,2016-07-12,Tuesday,52.0,Afternoon (10-16)
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,2016-07-13,Wednesday,35.6,Morning (5-9)
